FID,fstatus,akz,baujahr,fkt_faehig,bemerkung,oart,menge,rechts_w,hoch_w,land,gdb_geomattr_data,shape
wes.68471,2,,,3,,424,,426659,5728993,100000,,POINT (426658.85030000005 5728993.462300001)
wes.68472,2,,,3,,410,0,404903,5845643,100000,,POINT (404903.26960000023 5845643.276000001)
wes.68473,1,,,1,,400,,408753,5784840,100000,,POINT (408752.5656000003 5784839.5085)
wes.68474,1,,,1,,400,,408641,5783781,100000,,POINT (408640.6465999996 5783780.755000001)
wes.68475,2,,,0,,450,,442588,5800609,100000,,POINT (442588.3409000002 5800609.1954)
wes.68476,1,,,0,,400,,404667,5882164,100000,,POINT (404667.1070999997 5882163.523)
wes.68477,1,,,0,in Absrache mit Amtsbrandmeister der Amtsgemeinde Wusterwitz,430,,318136,5802476,100000,,POINT (318135.6470999997 5802476.203)
wes.68478,1,,,1,,400,,363798,5781170,100000,,POINT (363797.50989999995 5781170.272299999)
wes.68479,1,,,1,,400,,363856,5784738,100000,,POINT (363856.3038999997 5784738.032299999)
wes.68480,2,,,3,,470,,428791,5727205,100000,,POINT (428790.6961000003 5727204.998500001)
wes.68481,1,,,1,,430,,454003,5728756,100000,,POINT (454002.97699999996 5728756.3508)
wes.68482,1,,,0,,400,,346025,5783899,100000,,POINT (346024.61280000024 5783898.967499999)
wes.68483,1,,,0,,400,,343474,5782976,100000,,POINT (343473.57320000045 5782975.6599)
wes.68484,1,,,0,,400,,346768,5782007,100000,,POINT (346768.48340000026 5782007.2192)
wes.68485,2,,,3,besser: offenes Gewässer als Löschwasserteich,410,,391421,5795622,100000,,POINT (391421.30140000023 5795621.786900001)
wes.68486,1,,,1,,400,,391652,5796731,100000,,POINT (391652.2937000003 5796730.549900001)
wes.68487,2,,,3,,430,,392648,5797530,100000,,POINT (392648.44799999986 5797530.3607)
wes.68488,2,,,3,,430,,389954,5797206,100000,,POINT (389954.3674999997 5797206.001499999)
wes.68489,1,,,1,,400,,392110,5797246,100000,,POINT (392109.8435000004 5797246.4594)
wes.68490,2,,,3,,470,200,401984,5739319,100000,,POINT (401983.97420000006 5739318.8444)
wes.68491,1,,,1,,400,,361586,5875807,100000,,POINT (361586.3984000003 5875807.196)
wes.68492,1,,,1,,400,,357177,5876342,100000,,POINT (357176.83690000046 5876342.2859000005)
wes.68493,2,,,3,,470,180,407372,5738514,100000,,POINT (407371.76889999956 5738513.5123)
wes.68494,1,,,0,In Vorabstimmung mit dem Eigentümer,400,,339590,5825523,100000,,POINT (339590.2993999999 5825523.1689)
wes.68495,1,,,0,In Vorabstimmung mit dem Eigentümer,400,,338386,5824597,100000,,POINT (338385.9687000001 5824597.283)
wes.68496,2,,,3,,470,180,409536,5734235,100000,,POINT (409536.2675000001 5734234.829399999)
wes.68497,2,,,2,,410,0,410181,5734835,100000,,POINT (410180.98199999984 5734835.211200001)
wes.68498,1,,,0,,400,,348106,5769941,100000,,POINT (348106.0645000003 5769941.1853)
wes.68499,1,,,0,,400,,334040,5785967,100000,,POINT (334039.9451000001 5785966.7883)
wes.68500,2,,,3,offenes Gewässer,410,0,353753,5873517,100000,,POINT (353752.77749999985 5873516.862299999)
wes.68501,2,,,3,offenes Gewässer,410,0,361221,5872428,100000,,POINT (361220.9363000002 5872428.058499999)
wes.68502,2,,,3,,410,0,360289,5880398,100000,,POINT (360289.15380000044 5880397.9155)
wes.68503,2,,,3,,410,0,360302,5880415,100000,,POINT (360302.3830000004 5880415.113399999)
wes.68504,2,,,3,offenes Gewässer-Tholmannsee,410,0,361103,5868096,100000,,POINT (361102.84300000034 5868095.637)
wes.68505,1,,,1,,400,,351029,5874771,100000,,POINT (351028.6802000003 5874771.4848)
wes.68506,1,,,0,,400,,327620,5831679,100000,,POINT (327619.64439999964 5831678.7678)
wes.68507,1,,,0,,400,,327575,5833815,100000,,POINT (327575.3201000001 5833814.7401)
wes.68508,2,,,3,,410,10,448631,5886868,100000,,POINT (448630.90270000044 5886868.001)
wes.68509,3,208316000072,2017,3,,440,800,332964,5844455,100000,,POINT (332963.60919999983 5844455.313999999)
wes.68510,1,,,0,,400,,337023,5794771,100000,,POINT (337022.8044999996 5794771.1118)
wes.68511,2,,,3,,414,,421145,5885132,100000,,POINT (421144.6802000003 5885132.228800001)
wes.68512,3,108413000051,,3,Brunnen,430,0,334198,5762867,100000,,POINT (334197.8342000004 5762867.4022)
wes.68513,3,108413000050,,3,Brunnen,430,0,335811,5765469,100000,,POINT (335810.82270000037 5765468.825099999)
wes.68514,1,,,0,,400,,337262,5797437,100000,,POINT (337261.62509999983 5797437.2433)
wes.68515,1,,,0,,400,,334552,5797805,100000,,POINT (334551.6749 5797805.3146)
wes.68516,1,,,0,,400,,335072,5797115,100000,,POINT (335072.41139999963 5797115.104800001)
wes.68517,3,108412000045,,3,Flachspiegelbrunnen,440,0,338244,5764239,100000,,POINT (338244.4479 5764239.3572)
wes.68518,1,,,0,,400,,340900,5794950,100000,,POINT (340900.32409999985 5794950.1459)
wes.68519,1,,,0,,400,,341016,5793035,100000,,POINT (341015.90479999967 5793035.260399999)
wes.68520,2,,,1,"Ufer zugewachsen, schmale Einfahrt zwischen Grundstücken",414,,443611,5895726,100000,,POINT (443610.66170000006 5895725.681700001)
wes.68521,1,,,1,LWE 3 Fi Kreuzung,430,,392772,5895946,100000,,POINT (392771.72780000046 5895945.903000001)
wes.68522,1,,,1,LWE Am Heckenhaus,430,,395548,5894760,100000,,POINT (395548.1662999997 5894759.737400001)
wes.68523,1,,,1,LWE Kiefern-Eck,430,,396733,5896496,100000,,POINT (396733.34920000006 5896495.574999999)
wes.68524,1,,,0,,400,,328619,5832049,100000,,POINT (328618.88049999997 5832049.342800001)
wes.68525,2,,,1,,424,,351263,5776110,100000,,POINT (351262.99810000043 5776109.761600001)
wes.68526,1,,,0,,400,,326428,5792246,100000,,POINT (326428.04949999973 5792246.0944)
wes.68527,1,,,0,,400,,480848,5764218,100000,,POINT (480847.5351999998 5764217.9629)
wes.68528,1,,,0,,440,,321809,5829104,100000,,POINT (321809.3627000004 5829103.7696)
wes.68529,1,,,0,,440,,323380,5826331,100000,,POINT (323379.57079999987 5826330.9329)
wes.68530,2,,,3,LWE Krüseliner Mühle,410,10000,394383,5903167,100000,,POINT (394382.9382999996 5903166.864700001)
wes.68531,1,,,0,,400,,326895,5838333,100000,,POINT (326895.1233000001 5838333.011399999)
wes.68532,2,,,3,mindestens 800 l / min,440,,353014,5782003,100000,,POINT (353014.04849999957 5782002.9814)
wes.68533,1,,,0,,400,,330802,5837751,100000,,POINT (330801.80289999954 5837751.3562)
wes.68534,1,,,0,"Ausweichplanung, wenn der östliche Standort nicht umsetzbar ist",400,,327197,5833789,100000,,POINT (327196.8404000001 5833789.145199999)
wes.68535,3,108008000140,2008,3,Flachspiegelbrunnen,440,0,333856,5768224,100000,,POINT (333855.66229999997 5768223.6888999995)
wes.68536,2,,,3,,414,,423388,5889519,100000,,POINT (423387.86620000005 5889519.335999999)
wes.68537,2,,,3,,414,,420781,5880886,100000,,POINT (420781.24569999985 5880885.6072)
wes.68538,2,,,3,,414,,417928,5883268,100000,,POINT (417927.9414999997 5883267.8682)
wes.68539,2,Protok. 30-7-2013,,3,"Lichtraumprofil, Beschliderung",414,0,414988,5881575,100000,,POINT (414987.7193 5881574.805)
wes.68540,2,,,3,,414,,414424,5882361,100000,,POINT (414423.6832999997 5882361.158399999)
wes.68541,2,,,3,,414,,411187,5883703,100000,,POINT (411187.1074999999 5883702.602499999)
wes.68542,1,,,0,,400,,360060,5858058,100000,,POINT (360059.6952999998 5858058.168)
wes.68543,2,,,3,,414,,416561,5883505,100000,,POINT (416561.3929000003 5883504.828600001)
wes.68544,2,,,3,,410,,411212,5885238,100000,,POINT (411211.9084999999 5885238.036499999)
wes.68545,1,,,0,,400,,358481,5858448,100000,,POINT (358481.3099999996 5858448.2489)
wes.68546,2,,,3,,424,,410124,5885004,100000,,POINT (410124.2728000004 5885003.906199999)
wes.68547,2,,,3,,414,,409358,5886580,100000,,POINT (409358.4877000004 5886580.442399999)
wes.68548,1,,,1,,400,,352778,5793410,100000,,POINT (352777.8618000001 5793410.281400001)
wes.68549,2,,,3,,414,,409988,5880674,100000,,POINT (409987.7865000004 5880674.463400001)
wes.68550,2,,,3,,414,,409404,5880759,100000,,POINT (409403.5097000003 5880758.9527)
wes.68551,2,,,3,,414,,409087,5882419,100000,,POINT (409086.78550000023 5882418.9756000005)
wes.68552,2,,,3,,414,,406025,5881633,100000,,POINT (406024.8356999997 5881633.499299999)
wes.68553,2,,,3,,414,,404323,5883428,100000,,POINT (404322.99629999977 5883427.581599999)
wes.68554,2,,,3,,414,,410762,5888558,100000,,POINT (410762.37310000043 5888557.5065)
wes.68555,2,,,3,,414,,413234,5889033,100000,,POINT (413234.1791000003 5889033.485400001)
wes.68556,2,,,3,,470,,418939,5880072,100000,,POINT (418938.97119999956 5880072.109099999)
wes.68557,2,,,3,,470,,414202,5879313,100000,,POINT (414201.7479999997 5879312.7667)
wes.68558,2,,,3,,470,,417970,5882627,100000,,POINT (417969.9104000004 5882626.778000001)
wes.68559,2,Protok. 30-7-2013,,3,Wasserentnahme direkt am Wehr,414,0,404475,5884777,100000,,POINT (404474.6939000003 5884777.1085)
wes.68560,2,,,3,Zisterne,450,60,342717,5879113,100000,,POINT (342716.73390000034 5879113.137499999)
wes.68561,2,,,3,,470,,423086,5887162,100000,,POINT (423086.37179999985 5887162.075999999)
wes.68562,2,,,3,,470,,424350,5887250,100000,,POINT (424350.2221999997 5887249.5342)
wes.68563,2,,,3,,470,,419906,5884687,100000,,POINT (419906.40029999986 5884686.857799999)
wes.68564,2,,,3,,470,,409066,5885637,100000,,POINT (409066.30200000014 5885636.5481)
wes.68565,2,,,3,LWE 60 Bundesforst ,480,0,347425,5896521,100000,,POINT (347424.53809999954 5896520.560799999)
wes.68566,2,,,3,Bundesforst LWE 7,480,0,346486,5888375,100000,,POINT (346485.6657999996 5888375.406099999)
wes.68567,2,,,3,,410,,358262,5886789,100000,,POINT (358262.3295999998 5886788.764900001)
wes.68568,1,,,0,,400,,361652,5862618,100000,,POINT (361651.8920999998 5862617.670299999)
